Species,Full_Species,District,Stock,Code
Pink,Pink Salmon,Kamishak,Amakdedori Creek,
Chum,Chum Salmon,Kamishak,Big Kamishak River,
Pink,Pink Salmon,Kamishak,Brown's Peak Creek,
Chum,Chum Salmon,Kamishak,Bruin River,
Pink,Pink Salmon,Kamishak,Bruin River,
Chum,Chum Salmon,Kamishak,Cottonwood Creek,
Chum,Chum Salmon,Kamishak,Douglas River,
Chum,Chum Salmon,Kamishak,Iniskin River,
Chum,Chum Salmon,Kamishak,Little Kamishak River,
Pink,Pink Salmon,Kamishak,Little Kamishak River,
Chum,Chum Salmon,Kamishak,McNeil River,
Chum,Chum Salmon,Kamishak,Sugarloaf Creek,
Chum,Chum Salmon,Kamishak,Sunday Creek,
Pink,Pink Salmon,Kamishak,Sunday Creek,
Chum,Chum Salmon,Kamishak,Ursus Lagoon Creeks,
Sockeye,Sockeye Salmon,NA,Barabara Creek,BARA
Sockeye,Sockeye Salmon,NA,China Poot Creek,CHPO
Chinook,Chinook Salmon,NA,Dogfish Lagoon Creeks,DGFC
Sockeye,Sockeye Salmon,NA,Dogfish Lagoon Creeks,DGFC
Coho,Coho Salmon,NA,Humpy Creek,HUCK
Sockeye,Sockeye Salmon,NA,Humpy Creek,HUCK
Sockeye,Sockeye Salmon,NA,Island Creek,PDIS
Pink,Pink Salmon,NA,Port Graham River,POGR
Chinook,Chinook Salmon,NA,Seldovia River,SELD
Chum,Chum Salmon,NA,Tutka Creek,TUTK
Pink,Pink Salmon,NA,Tutka Creek,TUTK
Sockeye,Sockeye Salmon,NA,Tutka Creek,TUTK
Pink,Pink Salmon,Outer,Desire Lake,
Chum,Chum Salmon,Outer,Dogfish Lagoon Creeks,DGFC
Pink,Pink Salmon,Outer,Dogfish Lagoon Creeks,DGFC
Chum,Chum Salmon,Outer,Island Creek,PDIS
Pink,Pink Salmon,Outer,Island Creek,PDIS
Pink,Pink Salmon,Outer,James Lagoon Creeks,
Chum,Chum Salmon,Outer,Middle Creek,
Pink,Pink Salmon,Outer,Middle Creek,
Chum,Chum Salmon,Outer,Petrof River,
Chum,Chum Salmon,Outer,Port Chatham Creeks,PCHC
Pink,Pink Salmon,Outer,Port Chatham Creeks,PCHC
Chum,Chum Salmon,Outer,Port Dick Creek,PDHE
Pink,Pink Salmon,Outer,Port Dick Creek,PDHE
Chum,Chum Salmon,Outer,Rocky River,
Pink,Pink Salmon,Outer,Rocky River,
Chum,Chum Salmon,Outer,Slide Creek,
Pink,Pink Salmon,Outer,Slide Creek,
Pink,Pink Salmon,Outer,South Nuka Island Creek,
Pink,Pink Salmon,Outer,Taylor Bay Creeks,
Pink,Pink Salmon,Outer,Windy Bay Left Creek,
Pink,Pink Salmon,Outer,Windy Bay Right Creek,
Pink,Pink Salmon,Southern,Barabara Creek,BARA
Pink,Pink Salmon,Southern,China Poot Creek,CHPO
Chum,Chum Salmon,Southern,Humpy Creek,HUCK
Pink,Pink Salmon,Southern,Humpy Creek,HUCK
Chum,Chum Salmon,Southern,Port Graham River,POGR
Chum,Chum Salmon,Southern,Seldovia River,SELD
Pink,Pink Salmon,Southern,Seldovia River,SELD
